view_count,cart_count,purchase_count,stock_level,competitor_price_ratio,hour_of_day,day_of_week,base_price_tier,demand_score,conversion_rate,cart_conversion,price_multiplier
32,9,2,48,0.826,5,1,1,0.91,0.0625,0.2812,1.0472
58,2,0,548,0.956,6,3,3,0.359,0.0,0.0345,0.9857
27,10,1,31,1.0945,21,3,3,0.9869,0.037,0.3704,1.1143
29,7,0,185,0.8521,0,5,2,0.6278,0.0,0.2414,1.0198
22,5,1,255,1.2027,20,6,2,0.7009,0.0455,0.2273,1.0929
1,0,0,131,1.0964,20,6,2,0.005,0.0,0.0,0.913
4,1,0,247,1.1967,21,5,3,0.52,0.0,0.25,1.0471
1,0,0,11,0.8998,16,2,2,0.005,0.0,0.0,0.9277
40,4,0,529,1.0683,23,1,1,0.4,0.0,0.1,1.0038
15,5,0,576,1.0836,12,0,3,0.7417,0.0,0.3333,1.0544
28,5,0,201,1.0625,2,1,2,0.4971,0.0,0.1786,1.0187
95,26,4,84,1.0324,20,1,1,1.0,0.0421,0.2737,1.1201
11,2,0,7,1.2118,10,1,1,0.4186,0.0,0.1818,1.0653
21,9,2,89,1.0852,3,1,2,1.0,0.0952,0.4286,1.0618
56,5,1,57,0.9603,16,4,3,0.5121,0.0179,0.0893,1.0419
10,1,0,43,1.0541,7,4,2,0.25,0.0,0.1,0.948
3,0,0,89,1.0045,4,5,2,0.015,0.0,0.0,0.8972
13,4,0,9,1.2102,15,0,2,0.6804,0.0,0.3077,1.0563
7,0,0,65,0.9944,14,6,2,0.035,0.0,0.0,0.9149
106,6,1,587,1.0912,5,0,1,0.6415,0.0094,0.0566,1.0367
66,7,3,38,1.0131,14,0,1,0.6785,0.0455,0.1061,1.0247
40,6,1,404,0.9763,12,6,2,0.575,0.025,0.15,1.0667
82,10,0,118,1.0592,17,3,2,0.6539,0.0,0.122,1.0657
65,26,2,161,1.0786,18,4,2,1.0,0.0308,0.4,1.0572
8,2,0,507,1.082,7,5,2,0.54,0.0,0.25,1.0182
89,14,3,7,1.072,11,6,1,0.8607,0.0337,0.1573,1.076
31,4,0,195,1.0495,22,1,2,0.4131,0.0,0.129,1.0332
65,19,4,15,0.9825,4,4,3,1.0,0.0615,0.2923,1.1211
90,20,4,91,1.0898,14,4,1,1.0,0.0444,0.2222,1.0897
15,0,0,265,1.0979,17,6,2,0.075,0.0,0.0,0.8577
4,0,0,5,1.1274,20,0,1,0.02,0.0,0.0,0.9366
10,0,0,233,1.1461,7,4,2,0.05,0.0,0.0,0.9451
22,6,1,193,1.1398,13,3,1,0.7918,0.0455,0.2727,1.0896
68,11,3,288,0.9066,14,2,1,0.7959,0.0441,0.1618,1.0507
78,25,2,94,1.0572,6,6,1,1.0,0.0256,0.3205,1.092
0,0,0,178,1.1133,20,0,3,0.0,0.0,0.0,0.9552
28,6,2,1,1.0955,15,2,3,0.7829,0.0714,0.2143,1.1128
21,4,0,92,1.0383,6,1,2,0.486,0.0,0.1905,0.9982
10,0,0,85,1.0728,19,3,3,0.05,0.0,0.0,0.9325
5,1,0,277,1.0099,20,2,1,0.425,0.0,0.2,1.0125
16,1,0,215,0.9623,21,5,1,0.205,0.0,0.0625,0.9167
114,18,10,178,0.9551,3,2,2,1.0,0.0877,0.1579,1.11
15,4,0,22,0.9961,17,5,3,0.6083,0.0,0.2667,1.0682
29,4,0,91,1.0014,10,2,3,0.4209,0.0,0.1379,0.9851
48,13,1,153,1.0095,17,1,3,0.8442,0.0208,0.2708,1.0451
18,6,2,219,1.0118,13,2,2,1.0,0.1111,0.3333,1.0703
142,39,1,383,1.1259,11,3,3,1.0,0.007,0.2746,1.1078
131,41,12,310,0.9926,19,0,2,1.0,0.0916,0.313,1.0457
11,3,0,26,1.0605,15,6,3,0.6005,0.0,0.2727,1.0771
27,3,0,483,1.0399,7,0,3,0.3572,0.0,0.1111,0.9935
14,2,0,203,1.0472,2,2,2,0.3557,0.0,0.1429,1.0039
13,0,0,50,1.1683,14,1,1,0.065,0.0,0.0,0.9627
1,0,0,296,1.0238,2,1,1,0.005,0.0,0.0,0.8509
37,4,0,3,0.9937,5,0,2,0.4012,0.0,0.1081,1.0428
27,5,1,255,1.2282,4,0,1,0.6165,0.037,0.1852,1.005
2,0,0,93,0.9926,2,5,1,0.01,0.0,0.0,0.9204
13,3,1,73,1.1541,15,2,2,0.7573,0.0769,0.2308,1.1058
95,33,23,52,1.0438,2,2,1,1.0,0.2421,0.3474,1.0234
10,2,0,18,1.0305,22,3,3,0.45,0.0,0.2,1.0454
6,1,0,201,1.1513,7,2,2,0.3633,0.0,0.1667,1.0398
26,4,1,49,1.0672,15,2,2,0.5531,0.0385,0.1538,1.0205
169,4,1,236,0.8909,4,4,3,0.5651,0.0059,0.0237,1.0217
11,1,0,21,0.8715,18,6,1,0.2368,0.0,0.0909,0.9317
44,7,2,68,1.027,21,3,2,0.6745,0.0455,0.1591,1.0508
57,10,1,24,1.0206,4,4,1,0.6885,0.0175,0.1754,1.0696
10,1,0,226,1.105,20,4,1,0.25,0.0,0.1,0.9431
52,12,5,138,0.985,17,0,1,1.0,0.0962,0.2308,1.091
18,1,0,98,1.1227,7,5,2,0.2011,0.0,0.0556,1.0029
40,7,2,194,0.9863,18,1,1,0.7,0.05,0.175,1.0849
40,4,1,71,0.951,23,4,1,0.475,0.025,0.1,1.0107
30,6,1,299,0.9726,11,0,3,0.65,0.0333,0.2,1.0386
3,0,0,524,1.1047,19,1,2,0.015,0.0,0.0,0.8668
72,3,1,18,0.9929,9,0,1,0.485,0.0139,0.0417,1.0283
15,1,0,280,1.1595,16,3,3,0.2083,0.0,0.0667,0.9468
8,1,0,315,0.9457,8,4,1,0.29,0.0,0.125,0.9127
1,0,0,268,1.0182,7,5,1,0.005,0.0,0.0,0.8717
35,2,0,96,1.2365,1,4,1,0.2893,0.0,0.0571,0.9211
45,8,1,189,1.153,18,5,2,0.6472,0.0222,0.1778,1.0959
0,0,0,211,0.9658,22,2,3,0.0,0.0,0.0,0.9458
28,2,0,86,1.0032,22,2,2,0.2829,0.0,0.0714,0.9598
10,0,0,346,1.0927,3,0,1,0.05,0.0,0.0,0.8848
41,5,0,92,0.9664,14,4,2,0.4489,0.0,0.122,1.0392
7,1,0,5,1.0883,19,4,2,0.3207,0.0,0.1429,1.0309
46,9,1,5,0.9759,9,5,1,0.6865,0.0217,0.1957,1.0796
19,2,0,237,1.1717,6,2,1,0.3055,0.0,0.1053,1.0242
110,19,6,554,1.0789,13,0,2,1.0,0.0545,0.1727,1.0584
5,1,0,214,0.9556,5,5,2,0.425,0.0,0.2,1.0049
16,3,0,271,1.1009,12,5,3,0.455,0.0,0.1875,1.0516
4,1,0,203,1.1386,8,4,2,0.52,0.0,0.25,1.0619
103,10,4,179,0.9911,9,6,2,0.8107,0.0388,0.0971,1.0396
83,4,0,74,0.8753,6,0,2,0.5114,0.0,0.0482,0.9814
11,4,0,26,0.9425,16,0,1,0.7823,0.0,0.3636,1.1368
43,7,0,296,1.0017,6,3,1,0.5406,0.0,0.1628,1.0226
67,7,0,34,1.0763,13,1,1,0.544,0.0,0.1045,1.034
32,3,0,160,1.058,1,5,3,0.3475,0.0,0.0938,0.9899
30,2,1,25,1.1675,21,1,2,0.3833,0.0333,0.0667,1.038
11,4,2,157,1.0883,17,6,1,1.0,0.1818,0.3636,1.0559
3,0,0,86,1.0797,10,4,2,0.015,0.0,0.0,0.924
91,26,8,69,1.0562,17,6,1,1.0,0.0879,0.2857,1.0596
92,23,10,70,1.1175,10,2,1,1.0,0.1087,0.25,1.0737
40,12,1,41,0.9695,20,2,2,0.875,0.025,0.3,1.0823
16,6,0,12,1.1198,15,4,1,0.83,0.0,0.375,1.165
17,3,1,453,0.9384,7,5,2,0.6144,0.0588,0.1765,1.0056
51,7,3,93,0.9676,7,0,3,0.706,0.0588,0.1373,1.0515
90,40,9,32,0.9249,3,2,2,1.0,0.1,0.4444,1.0737
87,7,1,414,1.0759,5,6,2,0.6304,0.0115,0.0805,1.0123
60,19,3,188,1.1387,11,6,2,1.0,0.05,0.3167,1.1314
41,11,2,91,0.8914,7,0,2,0.8879,0.0488,0.2683,1.068
3,0,0,51,1.2247,20,6,2,0.015,0.0,0.0,0.9529
7,1,0,106,1.0983,18,4,2,0.3207,0.0,0.1429,1.0287
91,42,16,94,1.1174,7,0,2,1.0,0.1758,0.4615,1.116
37,7,0,23,1.0919,2,4,3,0.5634,0.0,0.1892,1.0372
0,0,0,70,1.0634,12,5,2,0.0,0.0,0.0,0.9352
4,0,0,74,1.0207,23,5,1,0.02,0.0,0.0,0.9265
43,15,4,4,0.959,18,5,1,1.0,0.093,0.3488,1.1423
0,0,0,326,0.9938,3,5,3,0.0,0.0,0.0,0.8782
7,0,0,114,1.1392,20,6,2,0.035,0.0,0.0,0.9745
31,6,1,7,1.0077,14,6,1,0.6389,0.0323,0.1935,1.0985
47,5,1,252,0.8533,15,1,1,0.5116,0.0213,0.1064,1.0443
42,4,0,40,1.0631,18,4,2,0.4005,0.0,0.0952,1.0298
10,0,0,22,1.0282,14,3,1,0.05,0.0,0.0,0.9232
49,6,0,1,0.9623,20,4,2,0.4899,0.0,0.1224,1.0739
10,4,1,66,1.0541,16,4,1,1.0,0.1,0.4,1.0429
15,2,0,489,0.9403,0,6,2,0.3417,0.0,0.1333,1.0099
54,9,0,418,1.1617,15,6,3,0.6033,0.0,0.1667,1.0415
41,9,0,43,1.0882,23,0,2,0.644,0.0,0.2195,1.0187
75,5,1,1,1.0922,13,5,2,0.5483,0.0133,0.0667,1.1006
42,9,0,554,1.1448,8,2,2,0.6386,0.0,0.2143,1.0668
33,5,2,232,1.0941,4,2,2,0.6498,0.0606,0.1515,1.0094
3,0,0,64,1.1048,5,0,2,0.015,0.0,0.0,0.9329
18,7,1,135,1.0802,21,6,2,1.0,0.0556,0.3889,1.1208
12,4,1,121,1.0758,21,3,1,0.9767,0.0833,0.3333,1.0541
11,2,0,264,1.0915,5,6,1,0.4186,0.0,0.1818,1.0014
144,45,9,186,0.8962,19,2,1,1.0,0.0625,0.3125,1.0609
19,5,0,3,1.1834,1,0,2,0.6213,0.0,0.2632,1.0705
89,3,1,88,1.0566,7,0,2,0.5461,0.0112,0.0337,1.0355
39,16,6,489,1.0131,21,3,2,1.0,0.1538,0.4103,1.0567
63,14,3,316,1.0308,12,3,2,0.9023,0.0476,0.2222,1.0231
27,5,1,27,1.1706,22,6,2,0.6165,0.037,0.1852,1.141
34,1,0,58,0.9875,2,0,1,0.2288,0.0,0.0294,0.9132
27,0,0,316,1.0948,22,6,1,0.135,0.0,0.0,0.9315
8,0,0,487,1.1072,13,1,3,0.04,0.0,0.0,0.8958
51,17,3,167,0.9939,9,3,1,1.0,0.0588,0.3333,1.0932
13,4,1,92,0.9747,0,6,3,0.9112,0.0769,0.3077,1.1092
0,0,0,250,1.0901,14,0,2,0.0,0.0,0.0,0.9177
41,4,0,56,1.0146,7,5,2,0.4001,0.0,0.0976,1.0302
7,1,0,97,0.8987,0,1,1,0.3207,0.0,0.1429,0.9716
112,31,7,138,0.9544,22,1,1,1.0,0.0625,0.2768,1.0888
123,5,0,126,0.8653,16,4,3,0.5813,0.0,0.0407,1.0175
98,36,22,2,1.0444,12,3,2,1.0,0.2245,0.3673,1.0795
18,2,0,431,0.9547,1,1,3,0.3122,0.0,0.1111,0.9954
0,0,0,503,1.0311,23,4,1,0.0,0.0,0.0,0.8618
105,20,3,247,0.8457,15,3,1,0.9667,0.0286,0.1905,1.0197
22,8,3,179,1.067,4,3,2,1.0,0.1364,0.3636,1.0413
136,37,12,215,1.0411,10,2,2,1.0,0.0882,0.2721,1.0573
132,41,5,27,1.0118,3,0,1,1.0,0.0379,0.3106,1.1193
76,8,3,292,1.1226,9,5,1,0.7089,0.0395,0.1053,1.1265
13,0,0,100,0.9042,7,4,1,0.065,0.0,0.0,0.8773
19,3,0,342,1.1654,0,4,1,0.4108,0.0,0.1579,1.0025
76,7,1,2,1.0799,3,2,2,0.6037,0.0132,0.0921,1.0897
15,2,0,445,1.0293,15,4,2,0.3417,0.0,0.1333,1.0018
7,0,0,92,0.9472,19,0,1,0.035,0.0,0.0,0.8689
32,2,0,10,0.9373,7,1,2,0.285,0.0,0.0625,0.915
110,23,8,463,1.0918,14,6,1,1.0,0.0727,0.2091,1.1195
47,10,2,233,1.222,1,4,2,0.7882,0.0426,0.2128,1.1344
33,7,1,18,0.966,12,2,3,0.6802,0.0303,0.2121,1.0564
4,1,0,294,1.0177,13,0,3,0.52,0.0,0.25,1.0215
38,12,1,61,1.0176,18,0,3,0.9005,0.0263,0.3158,1.0283
184,21,1,21,0.9958,19,0,2,0.7446,0.0054,0.1141,1.0834
6,0,0,376,0.8958,3,6,2,0.03,0.0,0.0,0.85
29,9,2,581,1.0448,21,2,1,0.9726,0.069,0.3103,1.0893
83,12,2,569,1.0268,23,6,1,0.7764,0.0241,0.1446,1.1354
54,11,0,76,1.094,9,3,2,0.6774,0.0,0.2037,1.061
47,13,5,149,1.1294,14,2,3,1.0,0.1064,0.2766,1.1221
48,11,3,15,1.0229,14,4,2,0.8858,0.0625,0.2292,1.113
17,1,0,262,1.1049,12,1,1,0.2026,0.0,0.0588,0.9374
13,2,0,24,0.9147,12,1,2,0.3727,0.0,0.1538,0.9954
66,19,4,333,1.0049,2,5,2,1.0,0.0606,0.2879,1.0893
66,6,0,6,1.1172,23,3,2,0.5118,0.0,0.0909,1.1133
80,13,0,595,1.0322,22,4,2,0.725,0.0,0.1625,1.0861
97,15,0,34,0.8872,15,4,1,0.7943,0.0,0.1546,1.0308
28,9,2,301,1.0194,17,3,2,0.9971,0.0714,0.3214,1.0145
27,13,4,496,0.923,20,0,2,1.0,0.1481,0.4815,1.0461
64,1,0,430,0.964,18,5,3,0.3513,0.0,0.0156,1.0329
41,2,0,210,1.0572,3,4,1,0.3026,0.0,0.0488,1.0191
48,9,1,10,1.0143,15,0,1,0.6775,0.0208,0.1875,1.0609
63,11,1,344,0.9671,1,1,3,0.7118,0.0159,0.1746,1.0331
88,26,15,158,0.9704,19,3,1,1.0,0.1705,0.2955,1.1427
16,8,3,226,0.9916,18,3,3,1.0,0.1875,0.5,1.0965
18,9,2,235,1.0177,22,2,1,1.0,0.1111,0.5,1.092
3,0,0,92,1.1078,18,2,1,0.015,0.0,0.0,0.9505
34,7,1,86,1.0691,23,6,3,0.67,0.0294,0.2059,1.056
1,0,0,596,1.0851,6,1,1,0.005,0.0,0.0,0.8873
25,7,1,71,0.929,18,2,1,0.805,0.04,0.28,1.0414
31,3,0,152,0.9399,15,4,1,0.3485,0.0,0.0968,1.0109
13,3,0,29,0.9499,14,4,2,0.5265,0.0,0.2308,1.0507
35,2,0,234,1.0296,1,1,3,0.2893,0.0,0.0571,0.9097
1,0,0,175,1.1024,5,0,2,0.005,0.0,0.0,0.8943
1,0,0,276,0.9045,0,5,2,0.005,0.0,0.0,0.8724
69,18,1,93,1.063,7,3,2,0.9102,0.0145,0.2609,1.0426
17,2,0,7,1.0314,22,6,2,0.3203,0.0,0.1176,1.0667
5,0,0,60,1.0555,8,5,2,0.025,0.0,0.0,0.9421
29,5,1,85,1.017,11,0,2,0.5933,0.0345,0.1724,1.0555
58,11,4,17,1.0757,6,1,3,0.8762,0.069,0.1897,1.0874
9,2,0,46,0.917,14,6,2,0.4894,0.0,0.2222,1.0011
39,8,1,74,1.0535,4,4,1,0.6822,0.0256,0.2051,1.0242
3,0,0,125,1.0937,15,0,3,0.015,0.0,0.0,0.9503
2,0,0,254,0.878,18,2,1,0.01,0.0,0.0,0.8853
30,11,3,432,1.0369,20,5,2,1.0,0.1,0.3667,1.0928
31,8,3,83,1.0171,21,1,2,0.9615,0.0968,0.2581,1.0557
40,4,1,123,0.9383,19,6,3,0.475,0.025,0.1,1.0078
51,8,3,392,0.9092,20,1,3,0.7452,0.0588,0.1569,1.0787
148,27,6,36,1.0837,15,5,2,0.9865,0.0405,0.1824,1.0901
29,8,1,80,1.0365,9,2,2,0.8002,0.0345,0.2759,1.0944
15,3,0,301,1.0866,13,2,1,0.475,0.0,0.2,0.9962
63,21,5,70,1.1562,19,5,1,1.0,0.0794,0.3333,1.1305
12,1,0,79,1.0297,7,3,1,0.2267,0.0,0.0833,0.9386
23,0,0,58,0.9476,10,0,1,0.115,0.0,0.0,0.9139
3,0,0,85,0.9841,5,0,1,0.015,0.0,0.0,0.8982
1,0,0,558,0.9584,8,2,2,0.005,0.0,0.0,0.915
131,9,0,33,1.03,18,1,2,0.6374,0.0,0.0687,1.0673
72,14,1,437,0.9057,17,4,2,0.7906,0.0139,0.1944,1.0759
47,5,1,12,0.9787,8,1,3,0.5116,0.0213,0.1064,1.0409
21,3,0,584,1.1035,2,3,3,0.3907,0.0,0.1429,1.0129
7,3,0,73,1.0505,8,6,3,0.8921,0.0,0.4286,1.0816
6,2,0,85,1.0452,8,4,1,0.6967,0.0,0.3333,1.0408
11,2,0,155,1.0476,20,3,2,0.4186,0.0,0.1818,1.0067
31,18,1,117,1.0573,7,6,1,1.0,0.0323,0.5806,1.0751
50,5,1,46,1.0844,17,4,2,0.51,0.02,0.1,1.0524
43,4,0,172,0.9772,13,3,2,0.401,0.0,0.093,0.9924
13,2,0,223,1.1538,2,5,2,0.3727,0.0,0.1538,1.0434
123,9,2,231,1.0222,6,0,2,0.6951,0.0163,0.0732,1.0087
53,15,7,75,1.1119,3,6,2,1.0,0.1321,0.283,1.1206
32,5,1,268,1.1156,18,2,1,0.5662,0.0312,0.1562,1.0887
37,2,0,57,1.0766,2,1,1,0.2931,0.0,0.0541,0.9707
21,4,2,49,1.1724,18,2,2,0.7717,0.0952,0.1905,1.1502
11,0,0,26,1.0258,22,2,2,0.055,0.0,0.0,0.9221
17,0,0,58,1.1125,9,0,2,0.085,0.0,0.0,0.9355
56,13,2,74,1.0538,4,2,1,0.8514,0.0357,0.2321,1.1057
0,0,0,231,0.9511,11,0,1,0.0,0.0,0.0,0.8973
4,0,0,93,0.9997,16,2,3,0.02,0.0,0.0,0.9296
1,0,0,246,0.9775,20,6,2,0.005,0.0,0.0,0.8937
1,0,0,126,0.9741,13,3,2,0.005,0.0,0.0,0.8893
77,27,7,576,1.019,15,1,2,1.0,0.0909,0.3506,1.0964
48,14,6,15,0.9575,15,1,2,1.0,0.125,0.2917,1.0912
25,3,0,160,0.9536,19,1,1,0.365,0.0,0.12,1.0196
4,0,0,351,0.9703,7,3,2,0.02,0.0,0.0,0.8556
27,1,0,62,0.9579,17,3,3,0.2091,0.0,0.037,0.9664
25,3,1,430,0.9761,21,0,2,0.485,0.04,0.12,1.0011
7,1,0,529,1.0559,1,5,2,0.3207,0.0,0.1429,1.0433
22,5,0,102,1.0665,1,5,1,0.5645,0.0,0.2273,1.0473
20,0,0,408,1.0463,2,0,2,0.1,0.0,0.0,0.9186
38,8,0,549,1.0196,14,5,2,0.6111,0.0,0.2105,1.0355
40,5,3,535,0.9668,1,2,2,0.675,0.075,0.125,0.9959
1,0,0,31,1.0847,23,6,2,0.005,0.0,0.0,0.8866
18,2,0,114,1.0728,21,0,2,0.3122,0.0,0.1111,1.0209
39,8,2,19,1.0693,18,1,1,0.7591,0.0513,0.2051,1.1071
27,6,0,551,0.9798,18,2,2,0.5794,0.0,0.2222,1.0572
77,12,1,10,1.054,1,0,2,0.7356,0.013,0.1558,1.1034
42,17,3,69,1.1235,21,5,2,1.0,0.0714,0.4048,1.0926
7,0,0,298,1.0138,16,6,3,0.035,0.0,0.0,0.902
2,0,0,423,1.1229,12,5,1,0.01,0.0,0.0,0.8756
41,6,1,342,0.9643,13,5,2,0.5709,0.0244,0.1463,1.0659
1,0,0,86,1.0077,22,0,1,0.005,0.0,0.0,0.9513
35,3,0,131,1.0361,20,6,1,0.3464,0.0,0.0857,1.0136
112,24,4,78,1.1182,14,2,2,1.0,0.0357,0.2143,1.1249
34,5,0,95,0.8549,10,5,2,0.4641,0.0,0.1471,1.0084
19,4,1,460,1.033,0,5,2,0.6739,0.0526,0.2105,1.0267
41,8,2,429,1.0768,16,3,1,0.7416,0.0488,0.1951,1.0536
24,3,0,69,1.0541,1,2,2,0.37,0.0,0.125,0.983
31,5,2,451,1.1019,22,2,1,0.6711,0.0645,0.1613,1.0795
113,57,16,485,0.9461,0,3,2,1.0,0.1416,0.5044,1.0698
19,1,0,147,1.0443,6,6,2,0.2003,0.0,0.0526,0.9574
129,19,1,429,1.0336,3,0,3,0.8178,0.0078,0.1473,1.0717
94,13,1,87,0.9987,0,5,1,0.7785,0.0106,0.1383,1.0786
8,2,0,584,0.969,20,6,2,0.54,0.0,0.25,1.0372
2,1,0,181,1.0481,5,3,2,1.0,0.0,0.5,1.0501
